Borough,Names,Median Age 2011,Population Density (persons per sq km) 2011,No people in household have English as a main language 2011,All Households 2011,Mean Modelled Household income (£) 2012/13,Economically active: % Unemployed 2011,% No qualifications 2011,Rates children (0-18) living in Out-of-work Benefit Claimant Households 2011,Total crime (numbers) 2011,Total Crime Rate 2011,Drugs Crime Total Number 2011,% People with Bad or Very Bad Health 2011,% area that is greenspace 2012
Barnet,Hendon,31,6607.1,1415,6965,51560,8.1,13.5,11.0,1339,72.4,66,4.1,16.4
Barnet,High Barnet,41,1849.4,409,6536,59790,5.5,13.1,8.2,1249,81.4,23,4.2,47.9
Barnet,Mill Hill,36,1968.1,703,6875,56660,6.7,14.0,15.6,1433,77.5,54,4.0,59.0
Barnet,Oakleigh,39,4803.0,531,6172,56260,5.7,14.7,14.9,939,59.2,34,4.6,15.3
Barnet,Totteridge,39,1727.3,799,5814,63320,5.2,13.0,9.7,740,48.7,27,4.0,57.7
Barnet,Underhill,39,3478.3,435,6304,49390,8.8,21.6,21.8,1059,66.2,45,5.5,43.7
Barnet,West Finchley,35,7545.5,1268,6685,56850,6.3,12.2,10.7,1145,69.0,46,4.2,13.4
Barnet,West Hendon,32,5132.4,1539,6224,46620,9.0,17.8,15.2,1886,108.1,108,5.0,32.0
Barnet,Woodhouse,36,6788.5,1118,6906,51100,7.4,15.7,15.6,1573,89.1,82,5.3,19.3
Bexley,Barnehurst,41,3603.4,57,4233,45990,6.0,23.1,14.2,435,41.6,28,4.5,35.8
Bexley,Belvedere,35,3734.4,247,4831,40110,9.1,23.7,22.3,760,63.6,46,5.2,33.2
Bexley,Blackfen and Lamorbey,41,6264.7,48,4158,49390,4.8,22.4,9.4,273,25.6,9,4.2,9.5
Bexley,Blendon and Penhill,41,5214.3,71,4229,48800,4.8,21.5,7.7,386,35.3,24,4.1,13.9
Bexley,Brampton,45,5300.0,68,4161,49400,4.4,22.9,8.2,330,31.1,11,4.4,9.2
Bexley,Christchurch,41,4400.0,101,4461,48590,5.5,21.0,12.1,1174,106.7,107,4.2,17.3
Bexley,Colyers,37,6968.8,90,4427,41250,9.4,25.1,23.9,477,42.8,34,6.0,13.1
Bexley,Crayford,38,2812.5,91,4743,41810,7.5,25.3,22.2,653,58.0,36,5.4,42.7
Bexley,Cray Meadows,40,1562.5,109,4707,42600,7.1,25.1,22.7,501,44.5,25,6.0,61.6
Bexley,Danson Park,40,4037.0,136,4453,46480,6.1,23.0,13.3,638,58.5,120,4.6,36.3
Bexley,East Wickham,41,4954.5,136,4210,43510,7.2,26.4,16.7,476,43.7,43,5.4,26.5
Bexley,Erith,33,2520.8,275,4925,39690,10.4,23.6,25.7,920,76.0,70,5.3,44.6
Bexley,Falconwood and Welling,40,6382.4,106,4117,47030,6.1,22.1,9.0,477,44.0,37,3.6,0.7
Bexley,Lesnes Abbey,39,4750.0,222,4466,42710,8.6,23.8,18.1,643,56.4,43,5.5,36.9
Bexley,Longlands,42,4038.5,96,4480,49520,5.8,20.9,9.5,409,39.0,22,5.0,30.0
Bexley,North End,32,2035.1,153,4631,35880,13.1,28.8,32.0,966,83.3,83,5.7,65.3
Bexley,Northumberland Heath,40,5916.7,76,4023,44610,6.5,23.3,15.9,444,41.7,23,4.5,13.5
Bexley,St. Mary's,43,2386.4,47,4290,53800,4.6,18.9,6.6,421,40.1,22,3.9,46.8
Bexley,St. Michael's,38,7964.3,95,3994,46390,6.0,21.8,11.5,322,28.9,31,4.1,5.9
