,ln_median_income,ln_rate_of_drugs_crime,no_english_in_household,median_age,population_density,unemployment_rate,overall_absence,ln_total_crime_rate,people_in_bad_health,green_space
64,10.418404794205372,4.902331002394416,237.5913813005002,32.0,8882.4,10.6,5.8,4.647271362006727,5.2,11.5
65,10.479819978504239,4.625372893305611,219.02149062642889,34.0,5000.0,9.1,5.3,4.28496492183075,4.9,39.3
66,10.204702639270494,5.358011837587855,230.23745115719868,31.0,15636.4,15.6,6.2,4.91338990965742,6.5,8.9
67,10.45276436267637,5.017598254851506,219.19841662543297,34.0,13590.9,10.4,5.8,4.686750172980514,5.8,6.9
68,10.649938505118385,4.63683510063206,195.8096223486808,38.0,5282.6,7.7,4.9,4.117409835153096,4.7,17.0
69,10.442025614868655,5.339450354695429,183.99059806738052,32.0,18944.4,10.9,5.4,4.728272383122075,6.3,11.2
70,10.51406800943911,4.571895397103219,213.41366735373396,32.0,11107.1,8.7,6.4,4.481871969643598,4.9,9.7
71,10.623763400484325,4.5569275170417525,197.63227832809858,34.0,4759.3,8.8,5.5,4.264087336809195,4.0,32.0
72,10.490162488585556,4.975145409114305,228.22822822822823,32.0,6479.2,8.9,5.8,4.341204640153626,4.7,19.1
73,10.666160795744684,4.773168581250491,143.92731909467642,34.0,10233.3,6.8,5.5,4.613138355637268,4.4,19.1
74,10.466241269162477,4.405574448251316,240.7446583456738,33.0,7600.0,8.2,5.5,4.481871969643598,5.5,13.7
75,10.158129770909708,5.108793914613814,172.28527867186176,29.0,4134.1,17.2,6.2,4.94021282979971,6.9,16.3
76,10.420195839460273,4.704944094937278,283.5019615940533,32.0,7142.9,9.2,5.5,4.273884476054178,5.3,34.6
77,10.408194495293941,5.437032238245456,266.44736842105266,32.0,5410.7,9.8,5.6,4.793308128103486,5.1,19.7
78,10.361545110763464,4.753090316064713,229.3616136410896,33.0,6000.0,10.9,6.0,4.382026634673881,5.6,34.2
79,10.343031974297155,4.782384805413901,328.99543378995435,32.0,9218.8,10.3,5.4,4.955827057601261,5.3,20.1
80,10.354244649836,4.792526819055131,258.94181638371515,31.0,10433.3,10.4,6.0,4.771531723203316,4.9,36.8
81,10.761937284720434,3.557851191707532,26.981732864085803,42.0,3091.8,4.4,4.6,3.8088822465086327,4.0,22.1
82,10.619618569486448,3.69733616413216,5.115089514066496,42.0,1204.8,4.8,5.3,3.8522730010223722,3.4,71.4
83,10.609304136196736,3.960813169597578,19.487840231921403,40.0,1825.3,6.6,5.7,3.966511190712216,4.4,59.3
84,10.67959625381042,4.020087791615608,48.8265443755058,37.0,4567.6,5.5,4.7,5.030437921392435,3.4,18.0
85,10.711078867486941,3.234380011404166,13.20754716981132,43.0,1154.8,4.3,4.5,3.5610460826040513,3.1,69.2
86,10.741816742940571,3.611918412977808,19.230769230769234,43.0,1432.7,4.5,4.7,4.283586561860629,4.0,60.0
87,10.637056647594989,4.3393155165808315,38.97985799159542,37.0,6782.6,6.2,4.9,4.01096295328305,3.8,16.3
88,10.672901088549523,4.169189533953976,46.273445212240865,38.0,4681.8,5.0,5.5,4.264087336809195,3.5,17.1
89,10.380652974809484,3.539903430076696,25.10085163603765,38.0,1165.4,8.7,6.6,4.754451888703846,5.7,76.4
90,10.3653329940804,3.7311148764313384,24.940968122786305,37.0,4320.5,8.9,6.5,4.429625613473161,6.3,24.2
91,10.43587895421668,4.3919843050035245,83.27879581151832,34.0,5347.8,10.4,7.1,4.697749367281185,5.3,49.3
92,10.664526999138992,2.583622622727158,4.322766570605188,46.0,177.6,4.2,7.1,4.070734696582967,3.5,88.8
93,10.705264897621522,3.3294582845071785,14.322916666666666,45.0,2100.0,4.7,4.4,3.6635616461296463,3.7,49.7
94,10.728977920083787,3.431656589146864,10.474631751227497,43.0,1476.9,4.8,4.3,3.597312260588446,3.1,69.5
95,10.707728780601661,3.5348616734828333,24.600438733939203,42.0,3067.3,4.8,4.9,4.364371699435161,3.6,43.6
96,10.383750870719478,3.728660324125781,35.70589617101245,36.0,4187.5,9.6,6.5,4.560172820057356,5.9,44.4
97,10.54770705947265,3.6488577797644504,22.867055669452768,42.0,3581.4,7.1,5.5,4.395682961121367,4.5,26.3
98,10.493771097636834,4.032968252102671,64.12930135557873,35.0,5800.0,9.8,6.0,4.593097604753822,4.8,25.2
99,10.789937442399262,3.354313795763305,18.18181818181818,44.0,3186.0,4.0,4.6,3.6428355156125294,3.1,24.6
100,10.583042779576607,4.17846336249568,39.05651707765355,38.0,3800.0,6.8,5.5,4.085976312551584,4.8,40.5
101,10.779372869775244,3.6458199646534895,35.594839942666034,43.0,3940.0,4.5,3.9,3.2771447329921766,2.9,3.1
102,10.740951503864313,3.4966075664668135,13.300665033251663,44.0,3397.7,4.1,4.4,3.7013019741124933,3.1,32.6
103,10.871991155857218,3.816712825623821,139.6183330614908,35.0,15875.0,5.6,5.4,4.160444363926624,3.9,1.3
104,10.605098811508203,3.555471525900954,195.26872795185724,29.0,10800.0,9.8,5.5,6.060290738037835,4.6,9.2
105,10.732912351388622,5.117893703662161,121.25317527519051,34.0,10541.7,6.9,5.1,6.030925615988895,5.6,15.2
106,10.57285420443067,4.496956601347859,126.42324303101688,31.0,14875.0,8.9,6.2,4.653007515402251,6.4,7.4
107,10.753638481905739,3.862126034283523,161.34485349361384,33.0,11750.0,6.4,6.0,4.3425058765115985,4.5,18.0
108,11.007253206445032,2.6437958112351962,145.54655870445345,36.0,7966.7,5.0,6.2,4.180522258463153,2.6,5.7
109,10.596384701840863,4.457216272698345,104.03094462540717,35.0,16071.4,9.1,6.4,4.334672938290411,8.0,15.9
110,11.048347092369557,3.0734936348608883,104.42307692307692,38.0,4520.0,4.0,6.3,4.705015520957808,3.4,54.2
111,10.483745951017456,4.622561928699961,106.77578987438143,32.0,17642.9,10.5,5.9,4.748404354073999,7.4,8.2
112,10.775617388624513,3.346303434554706,55.34670008354219,40.0,3421.9,7.2,6.2,4.499809670330265,6.0,65.2
113,10.601124638368926,3.8150118556610586,162.90480863591756,33.0,10833.3,8.7,5.8,6.115008733199437,6.3,7.5
114,10.626921425700946,4.387152531620254,103.74590022440877,32.0,13400.0,6.6,5.8,4.8154311114712876,5.5,5.3
115,10.45535914573812,4.31237301286954,187.39145536644668,33.0,17214.3,9.8,5.3,4.86830338551846,7.7,13.4
116,10.400923939183103,4.125677819233655,224.42316064431867,26.0,19583.3,13.5,6.4,5.088830141681313,5.2,13.5
117,10.441733771878111,4.743175859007535,156.3727240271332,30.0,10384.6,10.7,5.6,5.107156861086878,6.2,27.0
118,10.325481962595504,4.308319745449431,179.13385826771653,30.0,9857.1,12.7,6.1,4.711330381816482,8.2,13.5
119,10.826555268689306,3.553245011292635,177.64505119453923,34.0,9923.1,5.6,5.6,4.4343818650078095,3.8,14.5
120,10.742681234025316,4.07174473030486,139.1259815636736,32.0,13388.9,6.2,6.2,4.489759334476764,5.2,8.8
121,10.547181849376543,4.158554370268453,102.07864424731893,34.0,10593.8,8.1,5.5,4.209160236650682,4.8,2.3
122,10.561007555452923,4.295015257684252,48.08387563268257,38.0,5481.5,8.0,5.2,4.107589788972121,4.4,22.2
123,10.420195839460273,4.499809670330265,128.86424731182797,33.0,11607.1,11.0,5.9,4.301358731606427,4.7,7.7
124,10.341742483467284,4.441776639079656,168.58728126333762,31.0,6925.9,12.0,5.7,5.305789381386738,5.2,4.5
125,10.661016992025342,3.7234708988835554,15.472312703583063,44.0,1597.4,6.4,5.1,3.6712245188752153,4.3,56.8
126,10.749570389366786,3.5083138240222467,24.41059878990194,41.0,2700.0,5.7,4.9,3.7400477406883357,3.8,17.1
127,10.651596291170048,3.9059014296873165,65.15216459494214,35.0,4528.6,7.0,5.3,4.282206299391671,3.5,19.1
128,10.574644715204458,4.469742686351999,136.65943600867678,33.0,4381.6,8.1,5.8,5.571012696691494,4.1,17.5
129,10.193167627650581,4.241071883091947,40.88286932530725,28.0,7666.7,15.6,6.1,4.155753190350744,6.5,22.8
130,10.590868138201737,4.030007674314369,27.716593245227607,40.0,1523.0,6.4,5.6,4.421247347827163,4.1,61.3
131,10.695574680950976,3.4840070717980853,29.926883183132123,39.0,2315.4,6.6,5.4,3.655839600035736,3.7,39.6
